
   INFO  Server running on [http://10.255.1.41:8001].  

  Press Ctrl+C to stop the server
  2026-01-07 15:12:00 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:12:06 /dashboard/payments ........................ ~ 500.96ms
  2026-01-07 15:12:07 /assets/css/app.css .......................... ~ 0.49ms
  2026-01-07 15:12:07 /assets/images/logo.png ...................... ~ 0.35ms
  2026-01-07 15:14:01 /dashboard/payments .............................. ~ 2s
  2026-01-07 15:14:03 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 15:14:03 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:14:13 /dashboard/payments .............................. ~ 1s
  2026-01-07 15:14:15 /assets/css/app.css ........................ ~ 163.97ms
  2026-01-07 15:14:15 /assets/images/logo.png ...................... ~ 0.39ms
  2026-01-07 15:14:37 /dashboard/payments ........................ ~ 500.95ms
  2026-01-07 15:14:38 /assets/css/app.css .......................... ~ 0.54ms
  2026-01-07 15:14:38 /assets/images/logo.png ...................... ~ 0.35ms
  2026-01-07 15:14:49 /dashboard/payments .............................. ~ 1s
  2026-01-07 15:14:50 /assets/css/app.css .......................... ~ 0.30ms
  2026-01-07 15:14:50 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:15:11 /dashboard/payments ........................ ~ 500.89ms
  2026-01-07 15:15:12 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 15:15:12 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:15:17 /dashboard/payments ........................ ~ 500.94ms
  2026-01-07 15:15:18 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 15:15:18 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:15:49 /dashboard/payments/date ..................... ~ 0.55ms
  2026-01-07 15:15:49 /assets/css/app.css .......................... ~ 0.40ms
  2026-01-07 15:15:49 /assets/images/logo.png ...................... ~ 0.37ms
  2026-01-07 15:16:40 /dashboard/payments/date ..................... ~ 0.47ms
  2026-01-07 15:16:40 /assets/css/app.css .......................... ~ 0.49ms
  2026-01-07 15:16:40 /assets/images/logo.png ...................... ~ 0.39ms
  2026-01-07 15:16:45 /dashboard/payments ........................ ~ 500.95ms
  2026-01-07 15:16:45 /assets/css/app.css .......................... ~ 0.42ms
  2026-01-07 15:16:45 /assets/images/logo.png ...................... ~ 0.51ms
  2026-01-07 15:16:51 /dashboard/inactive_users/date ............. ~ 500.84ms
  2026-01-07 15:16:52 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 15:16:52 /assets/images/logo.png ...................... ~ 0.36ms
  2026-01-07 15:17:06 /logout .................................... ~ 500.99ms
  2026-01-07 15:17:24 /logout ...................................... ~ 0.48ms
  2026-01-07 15:17:24 /auth.login .................................. ~ 0.33ms
  2026-01-07 15:17:26 /dashboard/inactive_users/date ............... ~ 0.93ms
  2026-01-07 15:17:26 /assets/css/app.css .......................... ~ 0.30ms
  2026-01-07 15:17:26 /assets/images/logo.png ...................... ~ 0.35ms
  2026-01-07 15:17:29 /dashboard/inactive_users/date ............... ~ 0.59ms
  2026-01-07 15:17:30 /assets/css/app.css .......................... ~ 0.38ms
  2026-01-07 15:17:30 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:17:33 /logout ...................................... ~ 0.51ms
  2026-01-07 15:17:36 / ............................................ ~ 0.48ms
  2026-01-07 15:17:36 /login ....................................... ~ 0.48ms
  2026-01-07 15:17:36 /assets/css/app.css .......................... ~ 0.32ms
  2026-01-07 15:17:36 /assets/images/logo.png ...................... ~ 0.29ms
  2026-01-07 15:17:38 /login ........................................... ~ 1s
  2026-01-07 15:17:38 /dashboard ................................... ~ 0.36ms
  2026-01-07 15:17:39 /assets/css/app.css .......................... ~ 0.26ms
  2026-01-07 15:17:39 /assets/images/logo.png ...................... ~ 0.36ms
  2026-01-07 15:17:39 /logout ...................................... ~ 0.31ms
  2026-01-07 15:17:39 /auth.login .................................. ~ 0.19ms
  2026-01-07 15:18:19 /auth.login .................................. ~ 0.55ms
  2026-01-07 15:18:21 /dashboard ................................... ~ 0.35ms
  2026-01-07 15:18:21 /login ....................................... ~ 0.34ms
  2026-01-07 15:18:21 /assets/css/app.css .......................... ~ 0.24ms
  2026-01-07 15:18:21 /assets/images/logo.png ...................... ~ 0.20ms
